route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 69,Himsuta AC Seater Volvo/Scania 2+2,00:40,08h 50m,09:30,"4.6
62"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 2100720,Ordinary 3+2 Non AC Seater,05:00,09h 50m,14:50,4.1
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 6,Himsuta AC Seater Volvo/Scania 2+2,06:45,09h 25m,16:10,"4.7
56"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 592,A/C Executive (2+3),08:05,10h 05m,18:10,"3.7
15"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 129,Ordinary 3+2 Non AC Seater,08:50,09h 50m,18:40,"3.8
5"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 7,Himsuta AC Seater Volvo/Scania 2+2,09:25,09h 05m,18:30,"4.3
87"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 657,Ordinary 3+2 Non AC Seater,11:00,11h 00m,22:00,"2.7
7"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 515,Ordinary 3+2 Non AC Seater,12:30,10h 20m,22:50,"4.5
4"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 551,A/C Executive (2+3),15:30,10h 00m,01:30,"3.5
9"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 525,Ordinary 3+2 Non AC Seater,16:50,10h 10m,03:00,4.1
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 532,Ordinary 3+2 Non AC Seater,17:59,10h 16m,04:15,"1.5
4"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,19:35,09h 15m,04:50,"4.4
40"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 301,Ordinary 3+2 Non AC Seater,19:43,09h 47m,05:30,"4.5
4"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 591,A/C Executive (2+3),21:00,10h 20m,07:20,"3.0
43"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,21:02,09h 28m,06:30,"4.4
81"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 570,Ordinary 3+2 Non AC Seater,21:25,09h 20m,06:45,"3.2
7"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 20,Himsuta AC Seater Volvo/Scania 2+2,21:36,07h 54m,05:30,"4.2
70"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 9,Himsuta AC Seater Volvo/Scania 2+2,22:00,09h 30m,07:30,"3.9
66"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 579,Ordinary 3+2 Non AC Seater,22:30,09h 45m,08:15,"4.2
17"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 36,Himsuta AC Seater Volvo/Scania 2+2,22:30,08h 00m,06:30,"4.0
89"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 22,Himsuta AC Seater Volvo/Scania 2+2,23:00,08h 50m,07:50,"4.3
95"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 564,Ordinary 3+2 Non AC Seater,23:40,09h 25m,09:05,"4.5
24"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,RSRTC - 192344,Super Luxury Volvo AC Seater Pushback 2+2,03:00,11h 00m,14:00,3.6
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Bedi Travels,Volvo A/C Semi Sleeper (2+2),23:00,09h 00m,08:00,"4.7
964"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),23:30,08h 10m,07:40,"4.5
577"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),22:35,09h 35m,08:10,"4.5
497"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Royal Safari India Travels,Bharat Benz A/C Semi Sleeper (2+2),23:00,09h 30m,08:30,New
